Name;Position;Age;ca;pa;Nationality;Club;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggressiion;Anticipation;Bravery;Composure;Concentration;Vision;Decision;Determination;Flair;Leadership;Off The Ball;Position;Teamwork;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Stability;Foul;Contest performance;Injury;diversity;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Reflexes;Rushing Out;Punching;Throwing;Adaptation;Ambition;Argue;Loyal;Resistant to stress;Professional;Sportsmanship;Emotional control;GK;DL;DC;DR;WBL;WBR;DM;ML;MC;MR;AML;AMC;AMR;ST;Height;Weight;Left Foot;Right Foot;Values;Current reputation;Domestic reputation;World reputation;Race;RCA;Colour of skin;Date of birth;Number of national team appearances;Goals scored for the national team;Salary;Rental club;UID
Fabi†n Noguera;D C;29;123;129;Argentina;Club Estudiantes de La Plata;6;7;10;11;10;8;17;7;8;13;11;7;15;9;12;14;13;12;11;9;12;13;7;8;8;13;14;14;12;11;12;15;11;13;13;15;16;10;10;8;8;1;1;1;3;1;1;1;3;1;3;2;13;12;5;12;12;15;9;12;1;1;20;10;1;1;1;1;1;1;1;1;1;1;193;97;5;20;1042210;5991;5991;3740;Mediterranean_Hispanic;123;7;20/03/1993;0;0;6966;;14047884
Alexis Castro;M/AM LC;27;123;123;Argentina;Club AtlÇtico Tigre;13;12;14;11;14;13;6;14;5;8;13;13;8;15;9;13;8;13;9;13;11;9;16;8;15;8;14;8;13;13;13;9;14;12;14;10;11;7;9;8;13;3;2;3;1;2;1;1;2;1;1;2;12;14;6;13;6;15;12;9;1;1;1;1;1;1;1;15;20;13;17;13;12;1;182;73;20;12;3839277;6222;6222;3363;Mediterranean_Hispanic;119;5;18/10/1994;0;0;8730;;14047155
Lucca;AM/S L;32;123;133;Brazil;PON;11;11;13;13;13;13;10;12;8;7;11;12;10;14;12;12;11;11;10;12;12;12;14;10;12;6;13;10;14;12;11;11;12;14;12;10;11;10;13;12;14;4;3;1;2;1;2;2;1;2;3;1;10;13;6;8;12;12;6;7;1;1;1;1;1;1;1;14;1;1;20;11;14;18;178;72;10;20;347975206;6120;6120;3280;Native_American;119;10;14/02/1990;0;0;8945;;19086539
Sebasti†n Moyano;GK;31;123;124;Argentina;Club AtlÇtico Uni¢n de Santa Fe;4;1;1;1;8;7;6;3;2;2;7;2;1;8;12;13;13;9;12;8;13;12;6;10;3;15;10;13;13;12;11;14;13;10;8;13;14;7;13;8;12;13;10;10;8;15;12;13;15;6;15;11;12;8;4;16;10;12;12;12;20;1;1;1;1;1;1;1;1;1;1;1;1;1;188;79;10;20;920215;6050;6050;3500;Mediterranean_Hispanic;122;7;26/08/1990;0;0;8691;;14030263
Olakunle Olusegun;AM/S RL;20;123;-8;Nigeria;FC Krasnodar;7;7;13;11;12;6;6;10;3;3;10;9;6;12;11;6;5;16;12;8;8;10;12;9;11;6;8;12;17;15;11;4;13;20;12;7;12;13;19;7;10;2;1;3;3;3;3;1;1;1;1;2;15;12;7;12;10;9;9;11;1;1;1;1;1;1;1;1;1;1;19;14;17;20;167;67;7;20;17454238;5745;4475;2892;African_Caribbean;96;14;23/04/2002;0;0;24132;;13224511
J£nior Negr∆o;S;35;123;155;Brazil;Changchun Yatai;9;11;12;15;11;13;13;13;4;6;11;13;10;11;13;13;13;12;12;12;13;12;15;8;14;12;14;12;11;13;13;14;15;12;12;13;13;11;9;5;11;2;3;1;1;3;2;2;3;1;4;1;13;11;8;14;13;16;16;12;1;1;1;1;1;1;1;1;1;1;9;1;9;20;187;78;10;20;200061;6126;6005;2524;African_Caribbean;123;16;30/12/1986;0;0;15702;;19008106
Augusto Schott;D RL;22;123;138;Argentina;Club AtlÇtico Talleres de C¢rdoba;7;10;13;12;11;7;11;12;11;14;11;9;13;13;13;12;12;14;13;12;14;10;8;6;14;12;12;14;13;12;11;11;12;13;12;11;14;7;12;6;18;2;2;4;2;1;1;1;1;3;3;2;9;12;5;10;12;13;13;11;1;15;1;20;10;15;1;1;1;1;1;1;1;1;173;70;12;20;4342731;6265;6265;3446;Mediterranean_Hispanic;122;7;17/01/2000;0;0;1982;Club AtlÇtico Col¢n de Santa Fe;14181170
Guilherme Castilho;DM/M C;22;123;129;Brazil;CEA;14;12;12;9;13;14;10;12;8;12;13;5;12;12;13;13;13;12;11;12;13;13;6;7;12;11;13;13;12;13;12;9;13;12;13;11;11;12;13;8;15;3;2;3;3;2;2;2;2;3;2;3;9;9;1;9;12;12;6;12;1;1;1;12;1;10;20;1;18;1;1;10;1;1;180;71;12;20;3509535;6150;6150;2500;Mediterranean_Hispanic;120;5;19/09/1999;0;0;6709;;19362981
Luis Segovia;D LC;24;123;128;Ecuador;Club Independiente del Valle;4;9;11;7;12;6;11;10;15;11;15;10;13;14;15;9;15;14;11;9;12;10;11;8;10;12;13;12;13;13;16;13;14;13;16;17;10;14;10;7;16;3;3;3;1;1;1;1;2;2;2;3;19;8;7;11;9;11;9;11;1;15;20;1;12;1;1;8;1;1;1;1;1;1;189;80;20;9;449136;6135;6135;3270;Native_American;122;12;26/10/1997;1;0;5483;;86057330
Alex Scott;DM/M/AM RC;18;123;-85;England;Bristol City;5;10;14;11;13;6;8;9;4;8;13;7;10;13;12;11;12;13;11;14;13;14;13;9;14;10;14;12;13;15;11;8;12;14;14;9;11;8;13;7;13;3;2;2;3;3;3;2;3;3;1;3;10;10;8;15;10;13;14;13;1;1;1;1;1;14;18;1;20;1;1;20;16;1;178;0;8;20;11587574;6150;6150;3263;Northern_European;116;0;21/08/2003;0;0;1740;;95079228
John Ruddy;GK;35;123;145;England;Birmingham City;1;1;3;3;9;6;3;2;1;3;10;5;1;10;6;13;14;13;13;9;12;17;3;16;6;12;13;6;7;13;13;15;12;9;13;16;14;4;13;5;13;15;14;15;7;11;14;14;12;13;9;10;1;13;5;18;15;18;16;18;20;1;1;1;1;1;1;1;1;1;1;1;1;1;193;97;6;20;735340;6150;6150;4750;Northern_European;124;4;24/10/1986;1;0;10439;;5123017
Facundo Waller;M/AM LC;25;123;136;Uruguay;Club AtlÇtico San Luis;13;13;15;12;14;11;10;12;11;11;12;12;10;15;11;12;11;12;11;13;12;3;15;9;13;11;13;13;15;14;11;8;11;11;12;8;12;7;11;10;13;3;2;3;2;3;1;1;3;3;1;2;8;11;7;14;10;9;13;14;1;1;1;1;1;1;4;19;20;1;18;17;1;11;173;70;20;6;1063246;6071;6063;3763;Mediterranean_Hispanic;118;6;09/04/1997;0;0;1160;;78067775
Danny Namaso;AM/S RLC;21;123;145;England,Cameroon;FC Porto;9;10;13;13;11;9;10;10;8;6;12;12;6;12;12;10;11;12;11;12;9;12;14;8;13;6;10;13;13;14;13;11;15;14;15;12;12;9;11;3;12;3;1;2;3;1;3;1;1;3;2;1;15;18;5;11;11;10;15;9;1;1;1;1;1;1;1;5;5;5;18;20;15;19;182;77;11;20;3056249;6147;6147;4647;Mixed_Race;113;13;28/08/2000;0;0;6499;;29165730
Nicol†s Pasquini;D/WB/M L;31;123;131;Argentina;Club AtlÇtico Lan£s;10;14;11;7;12;13;7;13;11;12;12;13;11;12;7;12;11;14;14;12;13;14;12;14;14;13;15;16;12;13;9;8;15;12;13;9;12;8;12;8;17;2;2;1;2;1;2;2;1;2;1;1;8;12;7;17;13;15;14;11;1;20;1;1;19;1;15;17;14;1;1;1;1;1;172;76;20;8;866651;6246;6246;4001;Mediterranean_Hispanic;118;7;02/01/1991;0;0;9337;;14026234
µlvaro Tejero;D/WB RL;26;123;137;Spain;Eibar;10;13;11;5;12;11;11;14;13;13;12;9;13;11;10;13;12;11;12;10;11;9;8;10;11;14;13;13;13;12;11;8;14;13;13;9;12;9;14;5;15;1;2;1;1;1;4;1;3;1;1;3;11;12;5;12;12;12;13;15;1;18;13;20;15;18;1;1;1;1;1;1;1;1;172;65;14;20;1986947;6200;6200;3750;Mediterranean_Hispanic;119;6;20/07/1996;0;0;7339;;67211897
Joris Chotard;DM/M C;20;123;147;France;Montpellier HÇrault SC;8;8;12;8;13;9;10;8;5;11;14;6;13;14;13;13;14;12;13;13;13;13;13;9;12;13;14;14;13;14;14;12;14;12;13;14;14;13;13;8;10;2;2;1;2;3;1;2;3;2;2;3;19;13;8;12;13;15;12;12;1;1;1;1;1;1;20;1;19;1;1;1;1;1;179;70;8;20;9824000;6149;6149;3907;Northern_European;125;5;24/09/2001;0;0;9500;;49048599
Esteban Saveljich;D C;31;123;132;Montenegro,Argentina;Vallecano;4;5;6;5;9;5;13;5;7;14;11;6;13;10;11;13;15;12;14;6;13;12;5;16;7;14;14;13;12;11;12;13;12;13;15;15;11;14;12;8;5;3;1;3;3;4;3;2;1;1;1;3;14;13;6;7;10;15;15;9;1;1;20;1;1;1;1;1;1;1;1;1;1;1;187;82;7;20;1002318;6150;6150;4150;Northern_European;123;6;20/05/1991;4;0;5408;;14026358
Gabriel Neves;DM/M C;24;123;141;Uruguay;SPO;14;14;11;10;13;13;11;11;9;11;13;7;11;14;12;13;11;12;14;14;14;12;11;7;10;11;13;10;12;13;10;7;11;10;11;10;13;12;3;11;14;1;4;1;2;2;1;2;1;3;3;2;12;9;7;10;11;12;10;13;1;1;1;1;1;1;17;1;20;13;1;11;1;1;171;72;13;20;481454;5900;5900;5000;Mediterranean_Hispanic;118;7;11/08/1997;1;0;1117;;78084549
Luis Reyes;D/WB/M L;31;123;135;Mexico;CD Atlas;10;14;13;10;12;9;9;12;11;11;13;10;12;13;11;13;11;14;9;12;12;15;13;15;13;11;13;13;14;13;14;11;15;14;13;12;11;9;9;7;14;2;1;3;3;2;2;2;1;3;3;2;8;12;4;12;10;9;14;13;1;20;1;1;18;1;1;16;1;1;1;1;1;1;181;66;20;9;960763;6069;6069;2237;Native_American;122;11;03/04/1991;8;0;9918;;51013663
Mathias Jõrgensen;D C;32;123;155;Denmark,The Gambia;Brentford;5;5;11;7;13;8;13;6;11;13;14;7;13;13;12;13;13;15;9;12;11;13;10;14;8;13;13;12;12;11;15;15;13;12;13;14;11;16;17;9;7;2;1;3;1;1;1;1;3;2;2;1;16;14;16;10;16;12;8;8;1;1;20;10;1;1;5;1;1;1;1;1;1;1;191;79;12;20;628985;6150;6150;5200;Mixed_Race;123;15;23/04/1990;35;2;25000;;27000592
Luis Manuel Garc°a;GK;29;123;130;Mexico;Deportivo Toluca;4;6;7;3;12;3;2;1;13;8;13;4;3;10;13;13;15;12;10;12;12;12;11;11;1;12;9;11;10;12;12;11;10;11;12;12;12;8;12;14;12;12;13;11;10;12;14;14;14;10;14;13;14;13;6;10;14;11;7;10;20;1;1;1;1;1;1;1;1;1;1;1;1;1;183;83;10;20;884754;5900;5900;2000;Native_American;120;10;21/12/1992;0;0;8191;;51015887
Yanick Brecher;GK;29;123;126;Switzerland;FC ZÅrich;1;3;3;3;9;5;1;3;1;2;10;3;3;8;7;12;14;11;13;5;13;11;3;12;2;13;10;10;7;12;12;17;7;8;6;13;13;8;11;5;14;14;13;14;7;13;13;14;15;8;5;12;16;7;6;17;8;15;12;15;20;1;1;1;1;1;1;1;1;1;1;1;1;1;196;88;8;20;1743790;6058;6058;3596;Northern_European;122;4;25/05/1993;0;0;8270;;98009400
Vitor Bueno;AM C;27;123;134;Brazil;ATP;12;12;11;11;13;11;11;13;9;8;13;14;6;15;11;12;12;13;14;11;9;14;14;10;13;5;12;11;13;14;12;13;14;14;12;12;12;8;7;11;14;3;3;3;2;2;3;3;1;2;2;2;17;13;10;14;13;12;14;12;1;1;1;1;1;1;1;1;12;1;1;20;13;10;185;78;11;20;987305;6061;6061;3368;Mediterranean_Hispanic;119;6;05/09/1994;0;0;9717;;19257876
JosÇ µngel;D L;32;123;160;Spain;S. Gij¢n;12;15;13;8;13;14;8;14;13;11;13;8;12;13;7;13;14;8;9;12;13;9;13;6;14;11;15;15;14;14;12;9;12;14;13;12;12;5;11;10;12;1;3;3;2;3;2;2;2;2;2;1;8;8;9;16;6;12;13;10;1;20;1;1;15;1;1;10;1;1;7;1;1;1;182;77;20;8;347975206;6150;6150;4650;Mediterranean_Hispanic;123;6;05/09/1989;0;0;6434;;67064652
Marcel Sobottka;DM/M C;28;123;129;Germany;Fortuna DÅsseldorf;8;8;9;7;11;6;10;8;8;13;12;7;15;10;15;13;16;12;13;11;12;15;7;13;9;14;16;17;11;11;14;12;15;12;16;12;16;11;16;12;10;2;1;1;1;3;2;1;1;2;2;2;7;12;3;14;12;16;14;15;1;1;14;1;1;1;20;1;20;1;1;11;1;1;185;75;11;20;2217839;6149;6149;4249;Northern_European;121;3;25/04/1994;0;0;11506;;91137381
Matheus Fernandes;DM/M C;24;123;140;Brazil;SEP;10;9;13;11;13;8;12;12;9;13;13;11;13;13;11;12;14;12;11;12;11;14;11;10;13;13;14;14;14;14;14;11;13;12;13;9;11;12;14;9;15;2;2;1;1;2;1;2;3;3;4;1;5;13;12;13;13;13;14;11;1;1;1;1;1;1;18;1;20;1;1;8;1;1;183;67;8;20;1422092;6139;6139;3567;African_Caribbean;122;14;30/06/1998;0;0;31308;ATP;19250978
Leonardo Pico;DM C;30;123;130;Colombia;Club Independiente Santa Fe S.A.;8;8;10;8;13;10;11;12;4;12;13;7;13;12;10;12;13;13;13;12;13;13;9;14;10;14;14;13;13;12;13;10;12;13;14;14;13;9;12;9;10;1;3;1;3;1;1;4;1;2;1;2;11;10;11;13;11;12;13;20;1;1;1;1;1;1;20;1;15;1;1;1;1;1;180;78;8;20;792271;6000;6000;2750;Mediterranean_Hispanic;123;8;04/10/1991;0;0;7103;Once Caldas S.A.;76021496
Alexandre Oukidja;GK;34;123;127;Algeria,France;FC Metz;3;1;1;3;9;7;7;1;3;1;8;4;3;8;12;12;15;12;14;9;12;15;6;11;3;12;11;6;12;14;14;13;14;10;12;13;12;11;13;8;1;13;13;12;12;12;12;14;14;12;14;11;17;14;7;13;12;13;14;11;20;1;1;1;1;1;1;1;1;1;1;1;1;1;184;79;5;20;1183029;6150;6150;4002;North_African__Middle_Eastern;123;2;19/07/1988;6;0;10381;;8443045
Ousmane Doumbia;DM/M C;30;123;123;Ivory Coast;FC Lugano;6;8;11;8;12;6;10;11;5;12;14;8;12;12;14;16;13;12;12;12;11;13;10;11;12;12;16;16;12;15;9;11;7;12;16;11;13;7;13;12;13;3;2;2;2;1;1;3;2;2;2;3;14;12;12;8;10;10;12;12;1;1;10;1;1;1;20;1;20;1;1;1;1;1;175;68;9;20;1193343;6178;6161;3425;African_Caribbean;121;19;21/05/1992;0;0;8769;;98030625
Anthony Losilla;DM/M C;36;123;125;France,Spain;VfL Bochum 1848;4;8;11;6;11;7;15;8;5;13;12;8;13;12;16;13;15;12;15;12;12;17;9;17;9;14;16;13;11;11;14;13;18;12;16;14;15;12;14;2;9;3;2;2;2;3;2;2;3;2;3;1;16;13;6;15;13;18;16;16;1;1;14;1;1;1;20;1;20;1;1;1;1;1;185;80;12;20;168657;6143;5943;4843;Northern_European;122;4;10/03/1986;0;0;6904;;8434242
Pedro Ortiz;GK;32;123;124;Ecuador;Club Sport Emelec;4;3;1;3;6;9;5;2;2;2;6;1;2;6;11;11;10;7;10;7;14;14;7;13;6;10;11;9;11;12;14;16;14;10;11;16;15;8;11;12;15;16;13;14;6;16;12;11;14;8;9;10;16;13;6;11;13;11;10;15;20;1;1;1;1;1;1;1;1;1;1;1;1;1;187;70;8;20;135230;5697;5697;3072;African_Caribbean;120;14;19/02/1990;6;0;5483;;86050956
Robert Navarro;AM RLC;20;123;-8;Spain,Pays Basque;Real San Sebasti†n;12;11;13;9;15;12;6;13;3;6;13;11;7;15;12;15;7;10;9;14;13;11;14;10;16;8;12;12;15;13;14;9;13;14;12;11;13;11;13;6;12;3;2;1;2;3;2;1;2;2;1;3;7;14;7;12;12;9;8;17;1;1;1;1;1;1;1;1;14;1;18;20;16;1;178;65;8;20;60000001;6000;6000;3900;Mediterranean_Hispanic;124;6;12/04/2002;0;0;4158;;49052213
Keito Nakamura;AM/S RLC;21;123;139;Japan;Linzer Athletik-Sport-Klub;7;11;11;12;12;7;8;11;8;6;13;7;8;15;8;12;12;12;12;14;11;14;11;8;15;6;13;13;12;13;12;10;12;14;14;11;11;6;10;8;11;3;1;2;3;3;1;3;1;2;3;1;14;10;4;10;11;12;11;15;1;1;1;1;1;1;1;10;10;10;20;18;16;16;180;75;11;20;4224999;6200;6200;3602;10;119;7;28/07/2000;0;0;4999;;45108807
Javi Ontiveros;M/AM RL;24;123;143;Spain;Villarreal;11;14;14;13;14;14;6;14;7;6;14;15;7;14;8;12;10;14;10;14;8;9;17;8;12;7;9;8;14;14;15;5;14;14;13;6;7;3;13;7;13;2;1;2;3;1;3;2;3;2;3;1;12;17;15;8;14;10;9;7;1;1;1;1;1;1;1;16;1;15;20;14;19;1;170;75;11;20;3105599;6150;6150;4650;Mediterranean_Hispanic;123;5;09/09/1997;0;0;4866;;67211745
Tin Jedvaj;D RC;26;123;136;Croatia;Lokomotiv Moscow;7;8;9;9;12;8;11;9;15;14;12;8;13;12;10;15;15;11;12;9;13;15;9;10;12;12;9;14;12;11;14;13;14;14;13;12;11;13;12;10;15;2;1;2;1;1;2;3;3;1;4;3;14;12;13;8;12;12;8;10;1;12;20;16;9;13;9;1;7;1;1;1;1;1;186;79;9;20;5894221;6243;6779;5584;Northern_European;123;3;28/11/1995;26;2;23972;;24026928
Franco Fragapane;M/AM L;29;123;124;Argentina,Italy;Minnesota United FC;13;14;16;13;10;8;7;9;6;6;13;11;7;15;8;8;13;6;12;11;8;8;14;6;10;7;10;13;15;14;12;7;14;15;15;8;9;5;9;13;14;3;2;2;1;3;2;4;2;2;1;2;10;8;6;7;6;10;14;8;1;1;1;1;1;1;1;18;1;12;20;1;14;8;169;67;11;20;2446051;6154;6150;3757;Mediterranean_Hispanic;120;11;02/06/1993;0;0;4992;;14024700
Tibor Halilovi?;DM/M/AM C;27;123;132;Croatia;sc Heerenveen;8;9;13;10;13;8;4;14;4;7;14;8;6;13;15;12;13;12;12;13;12;17;14;10;12;7;14;15;14;15;10;6;13;12;13;8;12;12;12;7;14;4;2;2;1;1;2;1;3;4;1;1;15;12;3;11;12;10;12;12;1;1;1;1;1;1;18;10;20;12;14;18;12;12;176;70;12;20;3536277;6100;6050;4000;Northern_European;115;1;18/03/1995;0;0;3499;;24026929
Ulisses Garcia;D/WB L;26;123;127;Switzerland,Cape Verde Islands;BSC Young Boys;8;12;13;9;12;7;9;10;14;11;12;8;12;13;15;13;14;12;12;10;12;14;13;8;11;11;12;14;13;11;13;12;16;14;13;14;11;12;12;8;16;1;2;2;1;3;2;1;1;2;2;1;15;16;9;8;11;13;12;10;1;20;10;1;20;1;12;14;12;1;14;1;1;1;183;82;20;10;2446725;6128;6178;3742;African_Caribbean;118;16;11/01/1996;4;0;13706;;98030499
Adri†n Aldrete;D L;34;123;137;Mexico;Pumas de la UNAM;6;11;11;7;13;5;11;6;7;13;12;10;12;9;12;13;15;11;13;10;12;13;11;11;11;14;12;14;13;13;12;8;14;12;12;11;15;11;12;7;12;1;2;1;2;1;2;2;3;2;2;2;12;13;8;14;13;14;14;13;1;20;13;1;14;1;1;8;1;1;1;1;1;1;176;75;20;10;223066;6038;6438;4213;Mediterranean_Hispanic;114;11;14/06/1988;20;0;11030;;51000035
Callum Robinson;AM/S RLC;27;123;140;Republic of Ireland,England;Cardiff City;9;10;13;12;12;8;9;9;6;6;12;10;6;13;7;12;9;9;10;12;11;12;13;8;15;4;13;13;15;15;14;11;12;13;12;11;12;6;9;10;10;3;4;1;1;3;1;1;3;4;1;3;15;13;6;11;10;14;11;12;1;1;1;1;1;1;1;1;1;1;20;16;15;18;181;75;10;20;4954451;6150;6400;5250;Mixed_Race;116;12;02/02/1995;30;7;18559;;28062309
Renan;D LC;20;123;-8;Brazil;Shabab Al-Ahli Dubai Football Club;7;10;11;8;11;9;12;9;8;13;11;7;15;11;13;13;12;12;11;11;11;14;5;9;11;13;13;12;13;12;12;13;13;12;13;13;13;13;12;12;12;1;1;2;2;1;2;2;1;1;1;3;14;13;8;11;13;12;8;12;1;18;20;1;14;1;1;1;1;1;1;1;1;1;185;84;20;12;9900094;5150;5188;3022;Mediterranean_Hispanic;120;7;19/05/2002;0;0;22219;;19360964
Heberty;AM/S RLC;33;123;129;Brazil;Bangkok United;11;9;14;14;12;15;9;14;6;4;8;13;8;13;7;13;13;14;11;12;13;16;15;4;13;4;10;12;14;14;7;10;13;13;13;11;15;10;11;8;13;3;3;3;2;2;2;2;1;1;3;3;12;14;3;11;9;16;15;11;1;1;1;1;1;1;1;1;1;1;17;18;16;20;173;73;20;10;347975206;5900;4747;2869;African_Caribbean;118;14;29/08/1988;0;0;11726;;45038692
Neta Lavi;DM/M C;25;123;130;Israel,Portugal;Maccabi Haifa;6;9;11;5;12;8;13;11;8;13;13;10;15;11;12;14;13;13;13;11;13;12;3;11;10;14;14;14;12;12;13;10;8;11;14;12;14;11;13;8;7;2;2;2;2;1;1;2;2;4;4;1;10;12;5;16;9;14;11;7;1;1;15;12;1;1;20;1;18;1;1;1;1;1;178;77;12;20;1410748;6250;6250;5400;North_African__Middle_Eastern;125;11;25/08/1996;9;0;5267;;42058467
Michael Rangel;S;31;123;130;Colombia;Club Deportes Tolima S.A.;10;10;10;13;13;12;14;10;7;4;13;14;5;12;10;13;13;13;12;10;12;11;10;6;12;8;13;13;13;12;13;13;13;13;11;14;10;5;10;10;6;2;1;2;1;3;1;1;1;1;1;2;8;10;9;10;10;10;11;11;1;1;1;1;1;1;1;1;1;1;1;1;12;20;186;80;12;20;237128;6150;6150;3202;Mixed_Race;122;11;08/03/1991;1;0;8061;;76017935
Gideon Mensah;D L;24;123;135;Ghana;AJ Auxerre;9;9;13;4;12;9;11;8;7;12;12;8;14;12;12;13;13;12;13;12;11;12;13;8;10;9;13;15;16;15;8;10;12;17;13;12;13;7;10;7;3;4;1;2;2;3;1;2;2;4;2;2;12;11;6;10;11;13;12;13;1;20;1;1;15;1;1;1;1;1;1;1;1;1;178;64;20;9;2329883;6150;6150;4700;African_Caribbean;123;15;18/07/1998;11;0;6730;;16199712
Gabi Kanichowsky;M/AM RLC;24;123;123;Israel;Maccabi Tel-Aviv;12;12;13;10;12;10;7;12;5;11;13;9;13;13;14;13;12;12;12;10;12;12;13;11;11;11;12;15;11;12;12;7;14;11;14;8;13;6;11;8;14;1;2;1;1;3;1;3;2;3;2;1;12;14;7;8;10;12;12;7;1;5;1;4;7;5;15;16;20;12;15;18;16;8;164;64;15;20;1127752;5999;6149;5249;Northern_European;116;4;24/08/1997;2;0;8108;;42061427
Jannik Huth;GK;28;123;126;Germany;SC Paderborn 07;3;1;1;2;9;4;7;3;3;2;12;7;1;11;10;14;12;16;13;8;12;14;2;8;3;10;15;12;13;12;13;13;15;10;10;14;15;4;14;5;12;13;12;12;12;14;13;13;13;17;10;15;10;12;6;12;16;15;13;13;20;1;1;1;1;1;1;1;1;1;1;1;1;1;183;79;6;20;1305261;6008;6008;4253;Northern_European;125;3;15/04/1994;0;0;6310;;91136179
Fernando Karanga;S;31;123;132;Brazil,Bulgaria;Henan Songshan Longmen;5;8;12;14;11;12;15;11;4;4;11;13;8;13;17;11;15;11;12;11;10;16;12;13;14;6;11;16;15;13;11;16;12;13;12;13;14;14;15;9;3;1;3;2;3;2;1;3;3;1;2;2;11;15;18;8;10;12;7;6;1;1;1;1;1;1;1;1;1;9;1;1;12;20;189;73;8;20;347975206;6150;5813;4563;Mixed_Race;122;16;14/04/1991;0;0;14277;;19187799
Marco GrÅll;AM/S RLC;24;123;137;Austria;Sportklub Rapid Vienna;14;10;12;13;11;12;6;7;3;5;10;12;6;13;8;12;11;11;12;11;11;14;11;14;15;5;12;13;15;13;10;11;12;15;14;11;11;8;13;6;13;2;3;1;3;3;1;3;2;1;2;3;19;16;8;11;13;11;9;12;1;1;1;1;1;1;1;1;1;1;20;15;17;18;182;74;8;20;3400648;6187;6187;3987;Northern_European;117;4;06/07/1998;4;0;2784;;16195163
Elvis Mosquera;D/WB L;31;123;130;Colombia;AmÇrica de Cali S.A.;10;12;10;7;12;5;10;10;13;14;12;7;13;14;10;12;11;12;12;13;12;13;7;13;10;13;12;12;11;12;13;13;12;11;13;13;14;8;9;7;10;3;2;3;2;1;3;1;3;2;1;2;11;12;7;12;13;14;14;10;1;20;14;1;20;1;1;8;1;1;1;1;1;1;183;70;20;10;419601;6029;6029;3056;African_Caribbean;116;15;22/01/1991;0;0;7219;;76006626
Lukas Gîrtler;M C;28;123;124;Germany;FC St. Gallen 1879;9;9;10;11;11;8;13;12;6;10;12;12;14;11;17;14;18;12;13;10;14;16;13;14;13;12;17;17;10;10;16;13;15;11;16;17;14;12;13;6;15;3;1;3;3;2;3;2;1;3;2;1;13;11;7;16;14;16;10;6;1;1;1;1;1;1;12;10;20;12;6;11;12;8;186;80;8;20;1970074;6150;6150;3950;Northern_European;122;5;15/06/1994;0;0;7088;;91137410
Janis Antiste;S RL;19;123;-75;France,Martinique;Spezia Calcio;5;10;13;12;13;8;12;11;4;8;13;12;8;13;9;13;12;12;11;13;13;15;14;10;15;6;13;13;14;14;12;11;14;13;12;12;13;11;12;5;14;2;3;3;2;1;3;3;4;3;1;4;20;14;12;10;10;14;12;15;1;1;1;1;1;1;1;1;1;1;15;13;15;20;185;76;9;20;6000000;6150;5323;4017;African_Caribbean;121;11;18/08/2002;0;0;14621;U.S. Sassuolo;49048340
Fernando Uribe;S;34;123;134;Colombia;Club Deportivo Popular Junior F.C. S.A.;5;8;12;14;12;8;13;12;7;6;11;12;7;13;8;13;12;12;12;11;14;14;10;11;14;10;12;11;11;12;12;12;12;12;12;13;13;8;11;11;10;2;1;3;2;3;4;3;3;1;1;2;14;13;7;10;12;12;11;11;1;1;1;1;1;1;1;1;1;1;1;1;1;20;180;76;20;14;49321;6251;6251;3450;Mixed_Race;122;11;01/01/1988;2;0;8692;;8829170
Martin Boyle;WB/M/AM R;29;123;130;Australia,Scotland;Hibernian;9;12;11;14;10;6;5;10;2;2;8;12;5;10;10;9;7;10;7;8;8;14;12;5;12;9;13;15;16;11;12;4;13;17;12;11;11;4;11;8;7;1;1;1;1;1;1;1;1;1;1;1;7;12;5;11;10;11;8;14;1;1;1;1;1;16;1;1;1;16;1;1;20;15;173;0;10;20;4088013;6150;6150;4500;Northern_European;104;1;25/04/1993;18;5;8699;;61039990
V°ctor Meseguer;M C;23;123;137;Spain;Granada;7;8;12;11;13;11;12;12;7;10;13;12;10;13;13;12;11;13;13;12;13;15;7;11;13;12;13;15;13;12;9;11;13;13;14;12;13;6;6;5;16;2;2;3;2;1;3;3;3;3;1;1;13;9;7;12;12;9;11;15;1;1;1;1;1;1;11;1;20;1;1;13;1;1;184;81;11;20;3058972;6150;6150;4150;Mediterranean_Hispanic;123;5;09/06/1999;0;0;6485;;67278046
Alexander Prass;D/M LC;21;123;146;Austria;Sportklub Sturm Graz;9;8;13;7;12;7;9;13;7;10;13;8;11;14;7;11;12;11;11;10;12;16;7;8;14;9;13;13;14;12;8;10;12;15;17;9;9;6;8;7;9;1;3;3;2;3;2;2;1;2;3;2;19;17;5;13;11;13;12;19;1;16;1;1;13;1;1;20;15;1;14;13;1;6;180;72;20;12;6610000;6147;6147;3547;Northern_European;117;4;26/05/2001;0;0;4973;;16191722
